ebene_resultat;wahl_jahr;geoLevelName;kanton_nummer;kanton_bezeichnung;gemeinde_nummer;gemeinde_bezeichnung;partei_id_red1;partei_bezeichnung_de;partei_bezeichnung_fr;partei_bezeichnung_it;partei_bezeichnung_en;stimmen_partei;letzte_wahl_stimmen_partei;differenz_stimmen_partei;anzahl_listen;anzahl_kandidierende;anzahl_kandidierende_f;anzahl_kandidierende_m;anzahl_gewaehlte;anzahl_gewaehlte_f;anzahl_gewaehlte_m;letzte_wahl_anzahl_gewaehlte;letzte_wahl_anzahl_gewaehlte_f;letzte_wahl_anzahl_gewaehlte_m;differenz_anzahl_gewaehlte;differenz_anzahl_gewaehlte_f;differenz_anzahl_gewaehlte_m;fiktive_waehlende;letzte_wahl_fiktive_waehlende;differenz_fiktive_waehlende;partei_staerke;letzte_wahl_partei_staerke;differenz_partei_staerke;flag_staerkste_partei;partei_rang
Gemeinde;2023;Affeltrangen;20;Thurgau;4711;Affeltrangen;7;EVP;PEV;PEV;EVP;99;85;14;;;;;;;;;;;;;;;;;1.7729226361;2.0014127619;-0.228490126;0;9
Gemeinde;2023;Affeltrangen;20;Thurgau;4711;Affeltrangen;13;GRÜNE;VERT-E-S;VERDI;GREENS;329;297;32;;;;;;;;;;;;;;;;;5.8918338109;6.9931716506;-1.10133784;0;4
Gemeinde;2023;Affeltrangen;20;Thurgau;4711;Affeltrangen;16;EDU;UDF;UDF;EDU;198;147;51;;;;;;;;;;;;;;;;;3.5458452722;3.4612667765;0.0845784957;0;8
Gemeinde;2023;Affeltrangen;20;Thurgau;4711;Affeltrangen;31;GLP;PVL;PVL;GLP;262;239;23;;;;;;;;;;;;;;;;;4.6919770774;5.627501766;-0.935524689;0;6
Gemeinde;2023;Affeltrangen;20;Thurgau;4711;Affeltrangen;34;Mitte;Centre;Centro;Centre;744;587;157;;;;;;;;;;;;;;;;;13.323782235;13.821521074;-0.497738839;0;2
Gemeinde;2023;Affeltrangen;20;Thurgau;4711;Affeltrangen;35;Übrige;Autres;Altri;Others;208;;208;;;;;;;;;;;;;;;;;3.7249283668;;3.7249283668;0;7
Gemeinde;2023;Bettwiesen;20;Thurgau;4716;Bettwiesen;1;FDP;PLR;PLR;FDP;179;159;20;;;;;;;;;;;;;;;;;7.9875055779;9.5380923815;-1.550586804;0;3
Gemeinde;2023;Bettwiesen;20;Thurgau;4716;Bettwiesen;3;SP;PS;PS;SP;136;118;18;;;;;;;;;;;;;;;;;6.0687193217;7.0785842831;-1.009864961;0;5
Gemeinde;2023;Bettwiesen;20;Thurgau;4716;Bettwiesen;4;SVP;UDC;UDC;SVP;1137;812;325;;;;;;;;;;;;;;;;;50.736278447;48.710257948;2.0260204987;1;1
Gemeinde;2023;Bettwiesen;20;Thurgau;4716;Bettwiesen;7;EVP;PEV;PEV;EVP;33;33;0;;;;;;;;;;;;;;;;;1.4725568942;1.9796040792;-0.507047185;0;8
Gemeinde;2023;Bettwiesen;20;Thurgau;4716;Bettwiesen;13;GRÜNE;VERT-E-S;VERDI;GREENS;118;94;24;;;;;;;;;;;;;;;;;5.2655064703;5.6388722256;-0.373365755;0;7
Gemeinde;2023;Bettwiesen;20;Thurgau;4716;Bettwiesen;16;EDU;UDF;UDF;EDU;12;9;3;;;;;;;;;;;;;;;;;0.5354752343;0.5398920216;-0.004416787;0;9
Gemeinde;2023;Bettwiesen;20;Thurgau;4716;Bettwiesen;31;GLP;PVL;PVL;GLP;125;120;5;;;;;;;;;;;;;;;;;5.5778670237;7.1985602879;-1.620693264;0;6
Gemeinde;2023;Bettwiesen;20;Thurgau;4716;Bettwiesen;34;Mitte;Centre;Centro;Centre;359;322;37;;;;;;;;;;;;;;;;;16.019634092;19.316136773;-3.296502681;0;2
Gemeinde;2023;Bettwiesen;20;Thurgau;4716;Bettwiesen;35;Übrige;Autres;Altri;Others;142;;142;;;;;;;;;;;;;;;;;6.3364569389;;6.3364569389;0;4
Gemeinde;2023;Bichelsee-Balterswil;20;Thurgau;4721;Bichelsee-Balterswil;1;FDP;PLR;PLR;FDP;500;593;-93;;;;;;;;;;;;;;;;;8.6715227194;11.541455819;-2.8699331;0;3
Gemeinde;2023;Bichelsee-Balterswil;20;Thurgau;4721;Bichelsee-Balterswil;3;SP;PS;PS;SP;286;376;-90;;;;;;;;;;;;;;;;;4.9601109955;7.3180225769;-2.357911581;0;5
Gemeinde;2023;Bichelsee-Balterswil;20;Thurgau;4721;Bichelsee-Balterswil;4;SVP;UDC;UDC;SVP;2497;1926;571;;;;;;;;;;;;;;;;;43.305584461;37.48540288;5.8201815801;1;1
Gemeinde;2023;Bichelsee-Balterswil;20;Thurgau;4721;Bichelsee-Balterswil;7;EVP;PEV;PEV;EVP;104;87;17;;;;;;;;;;;;;;;;;1.8036767256;1.6932658622;0.1104108634;0;9
