kanton_nummer;kanton_bezeichnung;liste_nummer;liste_nummer_kanton;liste_bezeichnung;liste_1;liste_2;liste_3;liste_4;liste_5;liste_6;liste_7;liste_8;liste_9;liste_10;liste_11;liste_12;liste_13;liste_14;liste_15;liste_16;liste_17;liste_18;liste_19;liste_20;liste_21;liste_22;liste_23;liste_24;liste_25;liste_26;liste_27;liste_28;liste_29;liste_30;liste_31;liste_32;liste_33;liste_34;liste_35;liste_36;liste_37;liste_38;liste_39;liste_40;liste_41;liste_42;liste_43;liste_44;liste_45;liste_46;liste_47;liste_48;liste_49;liste_50;liste_51;liste_52;liste_ohne_listenbezeichnung;stimmen_liste_veraendert;stimmen_liste_unveraendert;stimmen_liste;wahlzettel_liste_unveraendert;wahlzettel_liste_veraendert;wahlzettel_liste;wahlzettel_ohne_listenbez
2;Bern / Berne;30;30;Eidgenössisch Demokratische Union // Union Démocratique Fédérale;16882;1375;319;464;20;408;32;1;1544;67;10;44;9;174;849;31;13;13;7;10;4;3;32;915;13;3879;203;115;184;116234;530;506;85;155;40;647;1760;216;70;0;0;0;0;0;0;0;0;0;0;0;0;0;8036;155899;135888;291787;5662;6163;11825;
2;Bern / Berne;31;31;Eidgenössisch Demokratische Union Plus // Union Démocratique Fédérale Plus;2108;274;80;133;10;74;10;3;442;62;9;32;12;39;153;16;1;0;0;3;3;2;7;202;11;766;52;42;44;3897;3743;206;86;53;6;95;233;58;34;0;0;0;0;0;0;0;0;0;0;0;0;0;2390;15391;7488;22879;312;221;533;
2;Bern / Berne;32;32;Junge Eidgenössisch Demokratische Union // Jeunes Union Démocratique Fédérale;1462;247;75;129;10;62;29;5;335;77;7;27;3;47;133;21;11;1;2;0;4;3;11;140;18;710;29;69;51;2836;180;5176;146;68;6;131;397;31;74;0;0;0;0;0;0;0;0;0;0;0;0;0;2824;15587;11904;27491;496;294;790;
2;Bern / Berne;33;33;Piratenpartei // Parti Pirate;767;138;920;1794;175;1137;301;131;869;336;33;48;40;21;2395;292;38;48;207;88;66;31;96;358;43;382;28;109;13;90;9;36;13397;41;35;146;238;32;225;0;0;0;0;0;0;0;0;0;0;0;0;0;8222;33375;36864;70239;1536;966;2502;
2;Bern / Berne;34;34;Schweizer Demokraten // Démocrates Suisses;2519;304;72;62;4;53;1;0;201;23;10;30;4;15;61;6;0;5;0;1;2;0;17;129;17;60;1;4;2;146;1;44;72;4187;58;86;211;54;73;0;0;0;0;0;0;0;0;0;0;0;0;0;1480;10015;19512;29527;813;271;1084;
2;Bern / Berne;35;35;JUTZIPhilipp.com // JUTZIPhilipp.com;60;0;6;6;0;2;0;0;14;0;0;0;0;0;6;0;0;0;0;0;0;0;0;18;1;1;0;0;2;9;0;2;9;7;647;8;31;2;13;0;0;0;0;0;0;0;0;0;0;0;0;0;75;919;672;1591;28;60;88;
2;Bern / Berne;36;36;MASS-VOLL! Bewegung für Freiheit, Souveränität und Grundrechte // MASS-VOLL! Mouvement pour la liberté, la souveraineté et les droits fondamentaux;2525;178;52;110;15;107;4;6;118;5;0;3;6;8;136;5;0;0;2;0;6;3;16;113;2;65;0;8;13;706;23;36;139;69;42;7981;1630;59;112;0;0;0;0;0;0;0;0;0;0;0;0;0;1709;16012;28608;44620;1192;503;1695;
2;Bern / Berne;37;37;Aufrecht Bern // Aufrecht Berne;3058;350;80;179;31;335;84;31;235;43;5;25;6;23;173;8;13;3;2;6;6;4;36;134;9;113;11;6;19;1188;54;146;344;102;22;996;24772;55;214;0;0;0;0;0;0;0;0;0;0;0;0;0;3370;36291;49680;85971;2070;1404;3474;
2;Bern / Berne;38;38;Bürgerliche Stadt- und Landliste // Liste Bourgeoise Ville et Campagne;9730;815;293;433;3;198;4;2;1981;87;28;81;27;81;877;32;25;9;4;17;7;5;36;1452;25;223;22;15;25;448;25;58;126;100;25;121;242;13263;115;0;0;0;0;0;0;0;0;0;0;0;0;0;4459;35519;16464;51983;686;784;1470;
2;Bern / Berne;39;39;Los Normalos // Los Normalos;530;50;77;76;11;64;13;5;148;37;0;6;12;1;135;9;2;3;0;2;12;0;10;119;7;33;5;5;2;45;6;7;120;17;23;53;111;15;4893;0;0;0;0;0;0;0;0;0;0;0;0;0;655;7319;3936;11255;164;322;486;
